target,gene,class,mechanism,family,group,organism
aac_NT,aacA35,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC6-PRIME,aac_NT,Acinetobacter Pseudomonas
aac2prime-Ia_NT,'aac(2'')-Ia',Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME,aac2prime-Ia_NT,Escherichia Klebsiella Providencia Serratia
aac2prime-Ib_NT,'aac(2'')-Ib',Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME,aac2prime-Ib_NT,Mycobacterium Mycolicibacterium
aac2prime-Ic_NT,'aac(2'')-Ic',Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME,aac2prime-Ic_NT,Escherichia Mycobacterium
aac2prime-Id_NT,'aac(2'')-Id',Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME,aac2prime-Id_NT,Mycolicibacterium
aac2prime-Ie_NT,'aac(2'')-Ie',Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME,aac2prime-Ie_NT,Mycobacterium
aac3prime-Ic_NT,aac(3)-Ic,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-Ic_NT,Acinetobacter Citrobacter Escherichia Klebsiella Pseudomonas Raoultella Salmonella Serratia
aac3prime-Id_NT,aac(3)-Id,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-Id_NT,Campylobacter Escherichia Morganella Proteus Providencia Pseudomonas Salmonella Stutzerimonas Vibrio
aac3prime-If_NT,aac(3)-If,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-If_NT,Citrobacter Enterobacter Escherichia Klebsiella Pseudomonas Serratia 
aac3prime-Ig_NT,aac(3)-Ig,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-Ig_NT,Saccharophagus
aac3prime-Ih_NT,aac(3)-Ih,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-Ih_NT,Paracoccus
aac3prime-Ii_NT,aac(3)-Ii,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-Ii_NT,Sphingopyxis
aac3prime-Iib_NT,aac(3)-IIb,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-Iib_NT,Burkholderia Enterobacter Escherichia Paracoccus Pseudomonas Salmonella Serratia
aac3prime-III_NT,aac(3)-IIe,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-III_NT,Acinetobacter Aeromonas Avibacterium Citrobacter Enterobacter Escherichia Klebsiella Kluyvera_intermedia Mannheimia Morganella Pasteurella Pluralibacter Proteus Providencia Pseudomonas Raoultella Salmonella Serratia Shigella Shinella Staphylococcus Stenotrophomonas Vibrio
aac3prime-IIIa_NT,aac(3)-IIIa,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-IIIa_NT,Burkholderia Pseudomonas
aac3prime-IIIb_NT,aac(3)-IIIb,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,aac3prime-IIIb_NT,Bosea Burkholderia Pseudomonas
